review_id,reviewer_name,rating,review_date_raw,review_text,owner_response,likes,local_guide
Ci9DQUlRQUNvZENodHljRjlvT25GcVIzSklaR3hOU1dsMWVqWmFXVGcwYkhSUFFuYxAB,Toedi Weah,5.0,4 days ago,The gentleman that  helped me with my food he was very kind very patient and I really appreciate it. Overall the food is 100% good delicious,"Good afternoon, Mr./Ms. Toedi,
   Thank you so much for your wonderful feedback! We are delighted to hear that a staff made your visit welcoming and the food was delicious. We appreciate your support and look forward to seeing you again soon! 
Thank you.",0,True
Ci9DQUlRQUNvZENodHljRjlvT2w5MlJsTTJWbmMwU2xKaFVFcERiVlJZTWxnMkxYYxAB,Jen C,4.0,a week ago,"In my estimation, the best African Store so far. The approach of the people running the store is different from the usual African store mentality","Good evening Mr. Mek,
Thank you so much for patronizing and leaving us a review, we are sincerely grateful. We will do our best to uphold the best standards that ensures each visit makes you feel at home and experience Africa. How can we earn your 5 star review please?

Thank you.",0,True
Ci9DQUlRQUNvZENodHljRjlvT2kwelMxYzBOR3h4WDE4eE1rOVRZbWRQYVc5dGMyYxAB,Idehen Obasuyi,5.0,a week ago,,"Good morning Mr. Idehen,
Thank you so much for patronizing and leaving us a review, we are sincerely grateful. We will do our best to uphold the best standards that ensures each visit makes you feel at home and experience Africa.
Thank you.",0,True
Ci9DQUlRQUNvZENodHljRjlvT2paelFuTk5UbGR2VEV4amFYVklhMWhNV21aYU4xRRAB,Magnus Aghe,4.0,2 weeks ago,,"Good morning Mr. Magnus,
   Thank you so much for patronizing and leaving us a review, we are sincerely grateful. Please, how can we gain your 5-star review and ensure you enjoy excellent service during your visit to our locations?

Thank you.",0,True
Ci9DQUlRQUNvZENodHljRjlvT20xV2FqSlJhM280WkRCTFdWWnpVVnBKZWpacFIwRRAB,Ifeoma Nzeocha,5.0,3 weeks ago,,"Good morning Ms. Ifeoma,
Thank you so much for your support, patronage, and honest rewarding feedback. We will continue to Uphold and increase the standards set and ensure you have the best experience every time you visit.

Kind Regards.",0,True
Ci9DQUlRQUNvZENodHljRjlvT21odVpIZE1TVWxFVWpkR1FURlBiWGgxUVZoVFgxRRAB,Temi Oni,5.0,a month ago,Wazobia is one of the best African stores in Houston for sure. Great and friendly staffs and clean environment,"Good afternoon Mr./Ms. Temi,
   Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia. Your kind review means a lot to us, and we're so happy you enjoyed your time here. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT21oSVNDMXZUMFZVWVRWbE5sVmllREpyVEVSRk5FRRAB,Elizabeth,5.0,a month ago,,"Good morning Ms. Elizabeth,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT25SR1Mwa3RTWEkxVTFkaVJ6ZHBkRFpZU0U0NWVtYxAB,ObalaaFin ADETOKUNBOH OLU ROSENJE [Aanunimorigba],3.0,a month ago,,"Good afternoon Sir, 
   Thank you for your review and support. We’re happy you had a good experience and will keep striving to make your next visit a 5-star one.
",0,False
Ci9DQUlRQUNvZENodHljRjlvT25aUWQyTlZhbVZDU0RkQloyMDFjV2x2VjJGeFZIYxAB,Doctor Elisha,5.0,a month ago,,"Good morning Sir/Madam,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT25vMlJYaHNNemxaZUVNMFlVTTNORlppYkVGYU1rRRAB,Mr. Nice guy,5.0,a month ago,Good food and nice staff,"Good evening sir,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia. Your kind review means a lot to us, and we're so happy you enjoyed your time here. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT2taRFQxWnlZMVl4ZEUxMk55MVpiSEJEUWw5dlNYYxAB,Amina the explorer,5.0,a month ago,"The perfect store to get all kind of Africa. Groceries, especially Nigerian food. The best part is their beef is Halal. Very affordable groceries","Good morning Ms. Amina, 
    Thank you so much for your wonderful review! We're happy to hear you found everything you were looking for.
   We work hard to keep our shelves stocked with quality African groceries at affordable prices, and we're especially glad you appreciate our halal beef selection. Your support means a lot to us.
  We look forward to welcoming you back again soon. Thank you for shopping with Wazobia!
  Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT25wNlRYSjZSMTlhVHpWeGFVdDRiVlZrWVVWRFZYYxAB,Philip Allen Yarida,5.0,a month ago,,"Good morning Mr. Philip,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia. Your kind review means a lot to us, and we're so happy you enjoyed your time here. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT21kM05HMXlNV1kwWWxkRVlqQk1OSGx3VmxoaU5uYxAB,Olayinka Famuwagun,5.0,a month ago,,"Good morning Mr. Olayinka,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia. Your kind review means a lot to us, and we're so happy you enjoyed your time here. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT25WUWRYUjJabE53Y3pkTGRIZHRXVE5xUW5WeFRrRRAB,Chinonye Samuel-Anonye,5.0,a month ago,Quality,"Good morning Ms. Chinonye,
  Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia. Your kind review means a lot to us, and we're so happy you enjoyed your time here. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT21VNVlrdDRkQzFaWjNkQlUwdEpUelpOTjFoWWIzYxAB,OLUWASEGUN TAIWO,4.0,Edited a month ago,Easy accessibility,"Good evening Mr. OluwaSegun,
Thank you so much for patronizing and leaving us a review, we are sincerely grateful. Please, how can we gain your 5-star review and ensure you enjoy excellent service during your visit to our locations?

Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT2xoVVNVNHhORUUwYTBOSU5IVXRSVTFQYkZKTlZrRRAB,E Stallworth,5.0,2 months ago,,"Good morning,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT2pkSmVtVXllbE5qVjFaSE5rUmtPVFJGTlVKdGRsRRAB,tim Emma,1.0,2 months ago,Overpriced and very expensive,"Good afternoon Mr. Tim, 
   Thank you for sharing your feedback. At Wazobia, we remain committed to offering quality products at the best possible prices. We have maintained our previous prices on many major products and fresh produce, while keeping increases on other items as minimal as possible because our customers are at the heart of what we do.

We appreciate your business and continued support. We are also open to discussing your concerns further, and you are welcome to contact us by email.
  Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT2s5bGRWQk9SV0l3U2pVd2VrTk5UVkZGT1hOd2RVRRAB,AMERICAN BEST ASSISTED LIVING,5.0,2 months ago,,"Good morning,
Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT2pGTlJ6VmFWRk13WmxWTFZXNXRaV2h5TFhBek0zYxAB,Iykesamuel,4.0,2 months ago,,"Good morning,
Thank you so much for the awesome 4-star review! Thank you for supporting our business and let us know how we can earn your 5-star review. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT21oR2FtUnNUamhSVEcxMGVUQkljRVJ5YW10ZldrRRAB,Damon Holland,5.0,2 months ago,Absolutely one of the best African markets in the area. It is always busy and the service is always impeccable!,"Good afternoon Mr. Damon,
   Thank you so much for the wonderful 5-star review! We're thrilled to see that you had such a great experience at Wazobia and secondly, thank you for highlighting our awesome qualities. We can’t wait to welcome you back again soon.
Thank you.",0,False
Ci9DQUlRQUNvZENodHljRjlvT2t0SFpYaDFRblpaWVhsMGQwcENWM0ZZYW1kTUxVRRAB,Adadioramma Egbuna,4.0,2 months ago,"I will always cheer Wazobia on for a lot of things, especially when it comes to customer service, cleanliness and product availability. There is a BUT….. of recent, I am not sure what’s been happening with the cashiers. Some of them look so disgruntled or upset. No greeting, no smile, no engagement with their customers until they get to the required membership question. I understand that standing on your feet all day attending to people can be a lot but I drive past other African stores to Wazobia for the customer service experience. Pls bring that back!","    Good evening Ms. Adadioramma,
    Thank you for your continued support and for sharing this honest feedback. We're grateful that you choose Wazobia for the customer service experience.
     We're sorry your recent visits haven't reflected the warm, friendly service we strive to provide. Your comments have been shared with our management team, and we'll be addressing this with our cashiers.
     We truly appreciate your feedback and look forward to providing the experience you've come to expect from Wazobia.
  Thank you.",0,False
