reviewer_name,rating,review_date_raw,review_text,useful,funny,cool,source
Medina K.,5,2026-08-31T20:34:18Z,"Exceptional service from beginning to the end! My Darling MIL had a taste for meat pie and wanted to get some for the travel back home and when we walked in we were greeted with smiling faces and generosity. The meat pie took a while but the employees wanted for us to be satisfied, which to me was pretty damn awesome in my book... The fish roll, Fish pie, and meat pie were all on point and hot right out the oven YESSSS! Felt like a winner!   If you are ever in the area and have a taste for Nigerian snacks try this spot! I don't mind traveling from the north side for their food!",1,0,1,yelp
nathalie m.,4,2026-08-23T18:36:40Z,"This review is more for Wazobia Kitchen that is next door. The market itself is fine, well stocked and clean.  Wanted some food and thought let me try the kitchen. It's a cafeteria style set up. I had jollof rice with tripe. The young man helping me, goodness I wish I remembered his name was very courteous and patient. He answered all the questions I had. Made suggestions etc...the staff welcoming and kind was adequately staffed to help everyone, no long lines. My food was great and I am ABSOLUTELY going back and have controlled myself not to go back this week. Another point I want to make is the cleanliness of the place. Good job. Do I recommended it? YES!",0,0,0,yelp
Rose O.,5,2026-04-13T18:09:39Z,"I cannot say enough good things about the food at Wazobia Kitchen. The flavors are consistently awesome and truly capture that authentic taste I'm always looking for. Every dish is prepared with such care, and you can really tell the difference in the quality.  I have already started telling everyone about this place! I will definitely continue to recommend Wazobia to all my friends and colleagues looking for a great meal. If you haven't tried them yet, you are missing out!",0,0,0,yelp
Genevieve A.,5,2025-10-25T01:03:57Z,"Wazobia is a consistent African kitchen I enjoy going to. I have never had anything I dislike from here. The coconut rice is probably my favorite but if you cannot tolerate spice please be careful  their jollof rice, meat pie, puff puff and designer stew are also staples of mine. Very clean and fast service. I will always come here",0,0,0,yelp
Sarah O.,1,2025-10-04T20:42:13Z,"Your employees WILL be the reason why there will be a lawsuit against this store. Where in the store does it states pregnant women or with children will be attended to first regardless of the pick a number procedure in the meat department? So I was already waiting 9 plus minutes, so because this woman is pregnant the rules and policy for requesting for meat/poultry is voided out. That's discrimination. The sad case is they catered to the alleged pregnant woman when there should have been structure and procedure in a multi business establishment. If you're not able to do that at Walmart, HEB, or other shopping stores why would it be done at this store?",0,0,0,yelp
Tracy D.,5,2025-10-01T02:11:23Z,"This place was the most sweetest restaurant I have ever came across!! Me and my bf were about to leave, but the sweetest lady told us to come, despite us coming 10 minutes before they closed. The employees were all welcoming and the sweetest lady was also very helpful given that it was our first time there. Idk what's up with these bad reviews but I had a great experience!!! But the only thing that disappointed me was that there was no tip button :( Will definitely be carrying cash the next time I go there!!",0,0,0,yelp
Michael M.,1,2025-09-24T15:18:57Z,Customer service was bad and was so rude and she threw the food at me and the ambiance was so bad,0,0,0,yelp
Let's Talk a.,1,2025-03-27T13:57:51Z,They are terrible in Customer Service. The ladies that work there do not greet or welcome you. They are not friendly at all. The food needs improvement too. The jollof rice is too bland and not tasty.,0,0,0,yelp
Faith O.,2,2025-01-26T01:49:20Z,i bought some smoked turkey from Wazobia market last week prior to stormy weather only for it to mess up my soup and stew. I discovered turkey was messed up. pls observe your meat and produce to make safe prior to service. I've been a customer for many years but this is not acceptable.,0,0,0,yelp
Funnie O.,1,2025-01-25T00:50:57Z,"When did Wazobia start cheating its customers? Their entrees now come with just one piece of meat, and if you're unlucky, that piece of meat is either half bone or half skin and fat. The portion sizes are not worth the price ($22 for jollof rice and one ridiculous piece of meat). Too bad that they've decided to take this approach. I will be ordering from their competitor next time. Their competitor provides a side of veggies and plantains.",0,0,0,yelp
El B.,4,2025-01-03T16:57:17Z,"This store has unique offerings. Hard to fine spices and herbs, such as kola nuts can be found at this store.",0,0,0,yelp
Queen O.,3,2024-12-29T12:30:33Z,"My family came here and all ordered different food so we could taste as much as possible. Together we ordered fried rice with goat meat, jollof rice with goat meat, beans with goat meat, and pounded yam and egusi soup. We also wanted moi moi but they were out. The fried rice was a 10, very flavorful and the goat meat was good too. Everything else could've used more salt. I had to wait about 20 mins for the pounded yam but it came out fresh and hot. The egusi soup could've had less oil though. In terms of the ambience, they had plenty of seating and it was a clean space. My only complaint regarding dining in was the noise level. The workers don't seem to have inside voices when they're having their side discussions. Very loud talking and laughing most of the time that we were sitting down, which made it difficult for us to even hear ourselves. Overall, I wouldn't return because the food to me wasn't anything special.",0,0,0,yelp
Ayisha O.,5,2024-12-07T03:08:01Z,"They cook with love at this place. The food is tasty and filling, and makes you feel at home. The service is super fast and Stella and Ella will provide any recommendation you need. I'm a repeat customer and you should be too!",0,0,0,yelp
Trent L.,5,2024-12-01T08:43:34Z,"Before I begin I would like to say that this review is based solely upon my personal experiences and my personal experiences alone, so with that being said let's go!!... My brother in law ordered a few items from the kitchen side of this business for thanksgiving. We went to pick it up on the day of. There was a tent outside in the parking lot so you didn't have to wait in the cold on this particular day because it was quite breezy and chilly. But it was in the 80's the day prior to that! Weather can be unpredictable anywhere!.  There were people coming pulling up nonstop picking up food orders while we waited. When we got there my brother in law gave his name and after a while they brought his order out.  We went inside briefly to see what they had already cooked for purchase to grab something to eat while we waited.  This was the first time I had African food so he wanted me to try out something. They did not have the item he wanted me to try. But when we got back and ate the two dishes I tried was tasty. I believe it was beef kabobs on skewers and Joliff rice that was smoked and it was delicious!  I would definitely return to try other dishes on my next visit.",60,25,57,yelp
Marvis A.,5,2024-10-16T01:14:09Z,very good food. I haven't had a bad experience so far. I normally come here do grab some Nigerian food when I'm in the area.,0,0,0,yelp
Janet E.,1,2024-05-25T06:08:01Z,The service is terrible and you will wait and wait and WAIT AND WAIT AND WAIT EH! The food is good but not worth the demeanor and behavior of the staff. The lack proper structure and process to manage the customers,0,0,0,yelp
Mademoiselle P.,1,2024-05-13T17:17:47Z,"Wazobia, you guys are a joke. You have the audacity to charge $23.79 for a plate of rice only to get protein that's fit for a bird! The greed is unreal. The only good thing is that you guys open on Mondays.",0,0,0,yelp
Grace O.,5,2023-11-26T00:22:21Z,The food is good . The public relationship of the restaurant staff is excellent. Deliverance is on time too.,0,0,0,yelp
Tulip T.,1,2023-10-31T07:08:26Z,Thieves! Thieves! Thieves! They weighed my meat in the box and tried to charge me for the weight of the box and plastic that the meat comes in. They minced my oxtail and refused to replace it. HENRY is a crooked and is not customer service oriented.   DO NOT SHOP HERE!,0,0,0,yelp
Debbie A.,3,2023-10-22T03:25:20Z,"The supermarket was well kept, clean and organized unlike many African markets in the East Coast. There was a ""hot food"" section which allows customers to pick food themselves which may be a food safety concern because some food cases were left open and some items looks picked through. I was going to try the scotch egg and realized that the case that it was in was pretty cold. I went next door to the restaurant portion and they had hot scotch eggs but it had no flavor. I would only visit the market for the plentiful grocery options but not the hot food.",0,0,0,yelp
Latia R.,3,2023-07-24T01:37:56Z,I love eating Nigerian food. The Jollof Rice is by far the best rice I've ever tasted. The rice is full of flavor with just the rice spice. The Red Stew is so good and definitely a favorite of mines. The restaurant is very small but cute. They have a small sit down area as well. The customer service is good as well.,0,0,0,yelp
Yo M.,1,2022-05-27T16:17:09Z,"I live near this location and have visited multiple times. I gave them numerous chances they are just too inconsistent. I watched the server intentionally select the pictured beef meat. There was no meat on the steamtable and she went to get more and returned with this burnt mess! Sometimes the food is overcooked, burnt and sometimes it's good and fresh. They are too inconsistent for me!",0,0,0,yelp
